Method	Path	OperationId	RequestSchema	PrimaryResponseSchema
POST	/api/v1/templates/enhanced/custom/{template_id}/workflow	create_template_workflow_api_v1_templates_enhanced_custom__template_id__workflow_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/workflows/{workflow_id}/approve	process_workflow_approval_api_v1_templates_enhanced_workflows__workflow_id__approve_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/ai/recommendations	get_ai_recommendations_api_v1_templates_enhanced_ai_recommendations_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/ai/content-analysis	analyze_template_content_api_v1_templates_enhanced_ai_content_analysis_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/ai/auto-tag	generate_auto_tags_api_v1_templates_enhanced_ai_auto_tag_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/custom/{template_id}/activity	get_template_activity_api_v1_templates_enhanced_custom__template_id__activity_get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/activity/global	get_global_activity_api_v1_templates_enhanced_activity_global_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/enterprise/sso/configure	configure_sso_provider_api_v1_templates_enhanced_enterprise_sso_configure_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/enterprise/sso/providers	list_sso_providers_api_v1_templates_enhanced_enterprise_sso_providers_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/enterprise/users/profile	create_user_profile_api_v1_templates_enhanced_enterprise_users_profile_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/enterprise/users/{user_id}/profile	get_user_profile_api_v1_templates_enhanced_enterprise_users__user_id__profile_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/enterprise/api-keys	generate_api_key_api_v1_templates_enhanced_enterprise_api_keys_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/enterprise/analytics/dashboards	create_analytics_dashboard_api_v1_templates_enhanced_enterprise_analytics_dashboards_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/enterprise/analytics/performance-report	generate_performance_report_api_v1_templates_enhanced_enterprise_analytics_performance_report_get	NOT_FOUND	INLINE_OR_EMPTY
GET	/api/v1/templates/enhanced/enterprise/analytics/real-time-metrics	get_realtime_metrics_api_v1_templates_enhanced_enterprise_analytics_real_time_metrics_get	NOT_FOUND	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/mobile/session/start	start_mobile_session_api_v1_templates_enhanced_mobile_session_start_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
POST	/api/v1/templates/enhanced/mobile/sync	sync_offline_data_api_v1_templates_enhanced_mobile_sync_post	INLINE_OR_EMPTY	INLINE_OR_EMPTY
